date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:42:02	94/94	---M-Z	200	added ('OK')	text/plain	date:Tue,%2006%20Aug%202024%2009:42:02%20GMT	https://nerdlab.be/robots.txt		(from )
11:42:03	39283/39283	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202024%2009:42:02%20GMT	https://nerdlab.be/mutation/	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/mutation/index.html	(from )
11:42:03	121879/121879	---M--	200	added ('OK')	image/jpeg	etag:%221dc17-59a2431b8f6bf%22	https://nerdlab.be/data/images/_1200x630_crop_center-center_none/facebook-og-twitter-card_190606_170319.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_1200x630_crop_center-center_none/facebook-og-twitter-card_190606_170319.jpg	(from https://nerdlab.be/mutation/)
11:42:03	118457/118457	---M--	200	added ('OK')	image/jpeg	etag:%221ceb9-59a23ed47243f%22	https://nerdlab.be/data/images/_1200x600_crop_center-center_none/facebook-og-twitter-card_190606_170319.jpg	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/data/images/_1200x600_crop_center-center_none/facebook-og-twitter-card_190606_170319.jpg	(from https://nerdlab.be/mutation/)
11:42:03	143834/143834	---M-Z	200	added ('OK')	text/css	etag:%22231da-615aa67ff9593-gzip%22	https://nerdlab.be/build/mutation-e7d749258f.min.css	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/build/mutation-e7d749258f.min.css	(from https://nerdlab.be/mutation/)
11:42:03	29990/29990	---M-Z	200	added ('OK')	image/x-icon	etag:%227526-58aa9a85a229f-gzip%22	https://nerdlab.be/mutation/favicon.ico	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/mutation/favicon.ico	(from https://nerdlab.be/mutation/)
11:42:03	946/946	---M--	200	added ('OK')	image/png	etag:%223b2-58aa9a85b4b85%22	https://nerdlab.be/mutation/favicon.png	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/mutation/favicon.png	(from https://nerdlab.be/mutation/)
11:42:04	5358/5358	---M--	200	added ('OK')	image/png	etag:%2214ee-58aa9a859ad86%22	https://nerdlab.be/mutation/apple-touch-icon-precomposed.png	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/mutation/apple-touch-icon-precomposed.png	(from https://nerdlab.be/mutation/)
11:42:04	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2006%20Aug%202024%2009:42:04%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/nerdlab-mutation-2019/www.googletagmanager.com/gtm.65445.delayed	(from https://nerdlab.be/mutation/)
11:42:05	70672/70672	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202024%2009:42:04%20GMT	https://nerdlab.be/mutation/nieuws	C:/My%20Web%20Sites/nerdlab-mutation-2019/nerdlab.be/mutation/nieuws.html	(from https://nerdlab.be/mutation/)
